author,month,rank,review,title,year
by Satya Nadella with Greg Shaw and Jill Tracie Nichols,11.0,10.0,,HIT REFRESH,2017.0
by Chip Gaines,12.0,1.0,,CAPITAL GAINES,2017.0
by Timothy Ferriss,12.0,2.0,,TRIBE OF MENTORS,2017.0
by Ray Dalio,12.0,3.0,,PRINCIPLES,2017.0
by Jocko Willink,12.0,4.0,,DISCIPLINE EQUALS FREEDOM,2017.0
by Michael Lewis,12.0,5.0,,THE UNDOING PROJECT,2017.0
by T.D. Jakes,12.0,6.0,,SOAR!,2017.0
by Thomas L. Friedman,12.0,7.0,https://www.nytimes.com/2016/11/22/books/review/thomas-friedman-thank-you-for-being-late.html,THANK YOU FOR BEING LATE,2017.0
by Daniel Kahneman,12.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2017.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,12.0,9.0,,THE MAGNOLIA STORY,2017.0
by Peter Frankopan,12.0,10.0,,THE SILK ROADS,2017.0
by Timothy Ferriss,1.0,1.0,,TRIBE OF MENTORS,2018.0
by Chip Gaines,1.0,2.0,,CAPITAL GAINES,2018.0
by Ray Dalio,1.0,3.0,,PRINCIPLES,2018.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,1.0,4.0,,THE MAGNOLIA STORY,2018.0
by Jocko Willink,1.0,5.0,,DISCIPLINE EQUALS FREEDOM,2018.0
by T.D. Jakes,1.0,6.0,,SOAR!,2018.0
by Daniel Kahneman,1.0,7.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Michael Lewis,1.0,8.0,,THE UNDOING PROJECT,2018.0
by Peter Frankopan,1.0,9.0,,THE SILK ROADS,2018.0
by Phil Knight,1.0,10.0,,SHOE DOG,2018.0
by Timothy Ferriss,2.0,1.0,,TRIBE OF MENTORS,2018.0
by Ray Dalio,2.0,2.0,,PRINCIPLES,2018.0
by Daniel H. Pink,2.0,3.0,,WHEN,2018.0
by Chip Gaines,2.0,4.0,,CAPITAL GAINES,2018.0
by Jocko Willink,2.0,5.0,,DISCIPLINE EQUALS FREEDOM,2018.0
by Charles Duhigg,2.0,6.0,,THE POWER OF HABIT,2018.0
by Daniel Kahneman,2.0,7.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Chip Heath and Dan Heath,2.0,8.0,,THE POWER OF MOMENTS,2018.0
by Daymond John with Daniel Paisner,2.0,9.0,,RISE AND GRIND,2018.0
by Malcolm Gladwell,2.0,10.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2018.0
by Gary Vaynerchuk,3.0,1.0,,CRUSHING IT!,2018.0
by Ray Dalio,3.0,2.0,,PRINCIPLES,2018.0
by Daniel H. Pink,3.0,3.0,,WHEN,2018.0
by Daymond John with Daniel Paisner,3.0,4.0,,RISE AND GRIND,2018.0
by Chip Gaines,3.0,5.0,,CAPITAL GAINES,2018.0
by Daniel Coyle,3.0,6.0,,THE CULTURE CODE,2018.0
by Timothy Ferriss,3.0,7.0,,TRIBE OF MENTORS,2018.0
by Charles Duhigg,3.0,8.0,,THE POWER OF HABIT,2018.0
by Daniel Kahneman,3.0,9.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Jocko Willink,3.0,10.0,,DISCIPLINE EQUALS FREEDOM,2018.0
by Nassim Nicholas Taleb,4.0,1.0,,SKIN IN THE GAME,2018.0
by Ray Dalio,4.0,2.0,,PRINCIPLES,2018.0
by Elena L. Botelho and Kim R. Powell with Tahl Raz,4.0,3.0,,THE CEO NEXT DOOR,2018.0
by Gary Vaynerchuk,4.0,4.0,,CRUSHING IT!,2018.0
by Jennifer Palmieri,4.0,5.0,https://www.nytimes.com/2018/03/19/books/review/jennifer-palmieri-dear-madam-president.html,DEAR MADAM PRESIDENT,2018.0
by Jon Taffer,4.0,6.0,,DON'T BULLSH*T YOURSELF!,2018.0
by Jocko Willink and Leif Babin,4.0,7.0,,EXTREME OWNERSHIP,2018.0
by Daniel Kahneman,4.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Charles Duhigg,4.0,9.0,,THE POWER OF HABIT,2018.0
by Daniel H. Pink,4.0,10.0,,WHEN,2018.0
by Jennifer Palmieri,5.0,1.0,https://www.nytimes.com/2018/03/19/books/review/jennifer-palmieri-dear-madam-president.html,DEAR MADAM PRESIDENT,2018.0
by Ray Dalio,5.0,2.0,,PRINCIPLES,2018.0
by Jen Sincero,5.0,3.0,,YOU ARE A BADASS AT MAKING MONEY,2018.0
by Angela Duckworth,5.0,4.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2018.0
by Kim Scott,5.0,5.0,,RADICAL CANDOR,2018.0
by John Lewis Gaddis,5.0,6.0,https://www.nytimes.com/2018/04/20/books/review/john-lewis-gaddis-on-grand-strategy.html,ON GRAND STRATEGY,2018.0
by Charles Duhigg,5.0,7.0,,THE POWER OF HABIT,2018.0
by Daniel H. Pink,5.0,8.0,,WHEN,2018.0
by Daniel Kahneman,5.0,9.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by John Doerr,5.0,10.0,,MEASURE WHAT MATTERS,2018.0
by John Doerr,6.0,1.0,,MEASURE WHAT MATTERS,2018.0
by John Carreyrou,6.0,2.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2018.0
by Ray Dalio,6.0,3.0,,PRINCIPLES,2018.0
by Phil Knight,6.0,4.0,,SHOE DOG,2018.0
by Ken Langone,6.0,5.0,,I LOVE CAPITALISM!,2018.0
by Jocko Willink and Leif Babin,6.0,6.0,,EXTREME OWNERSHIP,2018.0
by Jen Sincero,6.0,7.0,,YOU ARE A BADASS AT MAKING MONEY,2018.0
by Daniel Kahneman,6.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,6.0,9.0,,THE MAGNOLIA STORY,2018.0
by Angela Duckworth,6.0,10.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2018.0
by John Carreyrou,7.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2018.0
by Ray Dalio,7.0,2.0,,PRINCIPLES,2018.0
by Malcolm Gladwell,7.0,3.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2018.0
by Charles Duhigg,7.0,4.0,,THE POWER OF HABIT,2018.0
by Phil Knight,7.0,5.0,,SHOE DOG,2018.0
by John Doerr,7.0,6.0,,MEASURE WHAT MATTERS,2018.0
by Daniel Kahneman,7.0,7.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Jen Sincero,7.0,8.0,,YOU ARE A BADASS AT MAKING MONEY,2018.0
by Jocko Willink and Leif Babin,7.0,9.0,,EXTREME OWNERSHIP,2018.0
by Kim Scott,7.0,10.0,,RADICAL CANDOR,2018.0
by John Carreyrou,8.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2018.0
by Ray Dalio,8.0,2.0,,PRINCIPLES,2018.0
by Malcolm Gladwell,8.0,3.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2018.0
by Bill Browder,8.0,4.0,https://www.nytimes.com/2015/02/02/arts/bill-browders-red-notice-about-his-russian-misadventures.html,RED NOTICE,2018.0
by Phil Knight,8.0,5.0,,SHOE DOG,2018.0
by Jen Sincero,8.0,6.0,,YOU ARE A BADASS AT MAKING MONEY,2018.0
by Jocko Willink and Leif Babin,8.0,7.0,,EXTREME OWNERSHIP,2018.0
by Daniel Kahneman,8.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Kim Scott,8.0,9.0,,RADICAL CANDOR,2018.0
by John Doerr,8.0,10.0,,MEASURE WHAT MATTERS,2018.0
by John Carreyrou,9.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2018.0
by Beth Macy,9.0,2.0,https://www.nytimes.com/2018/07/31/books/review/beth-macy-dopesick.html,DOPESICK,2018.0
by Ray Dalio,9.0,3.0,,PRINCIPLES,2018.0
by Angela Duckworth,9.0,4.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2018.0
by Malcolm Gladwell,9.0,5.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2018.0
by Phil Knight,9.0,6.0,,SHOE DOG,2018.0
by Jocko Willink and Leif Babin,9.0,7.0,,EXTREME OWNERSHIP,2018.0
by Bill Browder,9.0,8.0,https://www.nytimes.com/2015/02/02/arts/bill-browders-red-notice-about-his-russian-misadventures.html,RED NOTICE,2018.0
by Daniel Kahneman,9.0,9.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2018.0
by Anand Giridharadas,9.0,10.0,https://www.nytimes.com/2018/08/20/books/review/winners-take-all-anand-giridharadas.html,WINNERS TAKE ALL,2018.0
by Doris Kearns Goodwin,10.0,1.0,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html,LEADERSHIP,2018.0
by Jocko Willink and Leif Babin,10.0,2.0,,THE DICHOTOMY OF LEADERSHIP,2018.0
by John Carreyrou,10.0,3.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2018.0
by Angela Duckworth,10.0,4.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2018.0
by Ray Dalio,10.0,5.0,,PRINCIPLES,2018.0
by Kai-Fu Lee,10.0,6.0,,AI SUPERPOWERS,2018.0
by Jocko Willink and Leif Babin,10.0,7.0,,EXTREME OWNERSHIP,2018.0
by Anand Giridharadas,10.0,8.0,https://www.nytimes.com/2018/08/20/books/review/winners-take-all-anand-giridharadas.html,WINNERS TAKE ALL,2018.0
by Phil Knight,10.0,9.0,,SHOE DOG,2018.0
by Tom Wright and Bradley Hope,10.0,10.0,,BILLION DOLLAR WHALE,2018.0
by Brené Brown,11.0,1.0,,DARE TO LEAD,2018.0
by Doris Kearns Goodwin,11.0,2.0,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html,LEADERSHIP,2018.0
by James Clear,11.0,3.0,,ATOMIC HABITS,2018.0
by Howard Marks,11.0,4.0,,MASTERING THE MARKET CYCLE,2018.0
by Robert Greene,11.0,5.0,,THE LAWS OF HUMAN NATURE,2018.0
by Scott Harrison with Lisa Sweetingham,11.0,6.0,,THIRST,2018.0
by John Carreyrou,11.0,7.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2018.0
by Jocko Willink and Leif Babin,11.0,8.0,,EXTREME OWNERSHIP,2018.0
by Jocko Willink and Leif Babin,11.0,9.0,,THE DICHOTOMY OF LEADERSHIP,2018.0
by Kai-Fu Lee,11.0,10.0,,AI SUPERPOWERS,2018.0
by Brené Brown,12.0,1.0,,DARE TO LEAD,2018.0
by Doris Kearns Goodwin,12.0,2.0,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html,LEADERSHIP,2018.0
by James Clear,12.0,3.0,,ATOMIC HABITS,2018.0
by John Carreyrou,12.0,4.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2018.0
by Robert Greene,12.0,5.0,,THE LAWS OF HUMAN NATURE,2018.0
by Seth Godin,12.0,6.0,,THIS IS MARKETING,2018.0
by Jocko Willink and Leif Babin,12.0,7.0,,EXTREME OWNERSHIP,2018.0
by Ray Dalio,12.0,8.0,,PRINCIPLES,2018.0
by Angela Duckworth,12.0,9.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2018.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,12.0,10.0,,THE MAGNOLIA STORY,2018.0
by Doris Kearns Goodwin,1.0,1.0,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html,LEADERSHIP,2019.0
by Brené Brown,1.0,2.0,,DARE TO LEAD,2019.0
by John Carreyrou,1.0,3.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by James Clear,1.0,4.0,,ATOMIC HABITS,2019.0
by Ray Dalio,1.0,5.0,,PRINCIPLES,2019.0
by Jocko Willink and Leif Babin,1.0,6.0,,EXTREME OWNERSHIP,2019.0
by Phil Knight,1.0,7.0,,SHOE DOG,2019.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,1.0,8.0,,THE MAGNOLIA STORY,2019.0
by Daniel Kahneman,1.0,9.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2019.0
by Angela Duckworth,1.0,10.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by John Carreyrou,2.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by James Clear,2.0,2.0,,ATOMIC HABITS,2019.0
by Brené Brown,2.0,3.0,,DARE TO LEAD,2019.0
by Stephanie Land,2.0,4.0,https://www.nytimes.com/2019/01/31/books/review/stephanie-land-maid.html,MAID,2019.0
by Doris Kearns Goodwin,2.0,5.0,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html,LEADERSHIP,2019.0
by Mike Bayer,2.0,6.0,,BEST SELF,2019.0
by Jocko Willink and Leif Babin,2.0,7.0,,EXTREME OWNERSHIP,2019.0
by Ray Dalio,2.0,8.0,,PRINCIPLES,2019.0
by Angela Duckworth,2.0,9.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by Ryder Carroll,2.0,10.0,,THE BULLET JOURNAL METHOD,2019.0
by John Carreyrou,3.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by Brené Brown,3.0,2.0,,DARE TO LEAD,2019.0
by Stephanie Land,3.0,3.0,https://www.nytimes.com/2019/01/31/books/review/stephanie-land-maid.html,MAID,2019.0
by James Clear,3.0,4.0,,ATOMIC HABITS,2019.0
by Angela Duckworth,3.0,5.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by Howard Schultz with Joanne Gordon,3.0,6.0,,FROM THE GROUND UP,2019.0
by Jocko Willink and Leif Babin,3.0,7.0,,EXTREME OWNERSHIP,2019.0
by Phil Knight,3.0,8.0,,SHOE DOG,2019.0
by Doris Kearns Goodwin,3.0,9.0,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html,LEADERSHIP,2019.0
by Roger McNamee,3.0,10.0,https://www.nytimes.com/2019/01/29/books/review/roger-mcnamee-zucked.html,ZUCKED,2019.0
by John Carreyrou,4.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by Brené Brown,4.0,2.0,,DARE TO LEAD,2019.0
by James Clear,4.0,3.0,,ATOMIC HABITS,2019.0
by Charles Duhigg,4.0,4.0,,THE POWER OF HABIT,2019.0
by Jen Sincero,4.0,5.0,,YOU ARE A BADASS AT MAKING MONEY,2019.0
by Jocko Willink and Leif Babin,4.0,6.0,,EXTREME OWNERSHIP,2019.0
by Angela Duckworth,4.0,7.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by Daniel Kahneman,4.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2019.0
by Mike Bayer,4.0,9.0,,BEST SELF,2019.0
by Phil Knight,4.0,10.0,,SHOE DOG,2019.0
by John Carreyrou,5.0,1.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by Abby Wambach,5.0,2.0,,WOLFPACK,2019.0
by Brené Brown,5.0,3.0,,DARE TO LEAD,2019.0
by Ray Dalio,5.0,4.0,,PRINCIPLES,2019.0
by James Clear,5.0,5.0,,ATOMIC HABITS,2019.0
"by Eric Schmidt, Jonathan Rosenberg and Alan Eagle",5.0,6.0,,TRILLION DOLLAR COACH,2019.0
by Mike Bayer,5.0,7.0,,BEST SELF,2019.0
by Jocko Willink and Leif Babin,5.0,8.0,,EXTREME OWNERSHIP,2019.0
by Angela Duckworth,5.0,9.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by Daniel Kahneman,5.0,10.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2019.0
by Brené Brown,6.0,1.0,,DARE TO LEAD,2019.0
by John Carreyrou,6.0,2.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by James Clear,6.0,3.0,,ATOMIC HABITS,2019.0
by Ramit Sethi,6.0,4.0,,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",2019.0
by David Bach and John David Mann,6.0,5.0,,THE LATTE FACTOR,2019.0
by Abby Wambach,6.0,6.0,,WOLFPACK,2019.0
"by Eric Schmidt, Jonathan Rosenberg and Alan Eagle",6.0,7.0,,TRILLION DOLLAR COACH,2019.0
by Ray Dalio,6.0,8.0,,PRINCIPLES,2019.0
by Jocko Willink and Leif Babin,6.0,9.0,,EXTREME OWNERSHIP,2019.0
by Angela Duckworth,6.0,10.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by Brené Brown,7.0,1.0,,DARE TO LEAD,2019.0
by David Epstein,7.0,2.0,https://www.nytimes.com/2019/05/28/books/review/david-epstein-range.html,RANGE,2019.0
by John Carreyrou,7.0,3.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by Ramit Sethi,7.0,4.0,,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",2019.0
by James Clear,7.0,5.0,,ATOMIC HABITS,2019.0
by Malcolm Gladwell,7.0,6.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by Jocko Willink and Leif Babin,7.0,7.0,,EXTREME OWNERSHIP,2019.0
by Angela Duckworth,7.0,8.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by Abby Wambach,7.0,9.0,,WOLFPACK,2019.0
by Ray Dalio,7.0,10.0,,PRINCIPLES,2019.0
by Brené Brown,8.0,1.0,,DARE TO LEAD,2019.0
by James Clear,8.0,2.0,,ATOMIC HABITS,2019.0
by John Carreyrou,8.0,3.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by David Epstein,8.0,4.0,https://www.nytimes.com/2019/05/28/books/review/david-epstein-range.html,RANGE,2019.0
by Malcolm Gladwell,8.0,5.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by Jocko Willink and Leif Babin,8.0,6.0,,EXTREME OWNERSHIP,2019.0
by Ramit Sethi,8.0,7.0,,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",2019.0
by Angela Duckworth,8.0,8.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2019.0
by Ray Dalio,8.0,9.0,,PRINCIPLES,2019.0
by Kim Scott,8.0,10.0,,RADICAL CANDOR,2019.0
by Brené Brown,9.0,1.0,,DARE TO LEAD,2019.0
by David Epstein,9.0,2.0,https://www.nytimes.com/2019/05/28/books/review/david-epstein-range.html,RANGE,2019.0
by James Clear,9.0,3.0,,ATOMIC HABITS,2019.0
by Malcolm Gladwell,9.0,4.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by John Carreyrou,9.0,5.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by Ramit Sethi,9.0,6.0,,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",2019.0
by Christopher Leonard,9.0,7.0,https://www.nytimes.com/2019/08/13/books/review-kochland-secret-history-koch-industries.html,KOCHLAND,2019.0
by Daniel Kahneman,9.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2019.0
by Jocko Willink and Leif Babin,9.0,9.0,,EXTREME OWNERSHIP,2019.0
by Beth Macy,9.0,10.0,https://www.nytimes.com/2018/07/31/books/review/beth-macy-dopesick.html,DOPESICK,2019.0
by Brené Brown,10.0,1.0,,DARE TO LEAD,2019.0
by Robert Iger,10.0,2.0,,THE RIDE OF A LIFETIME,2019.0
by James Clear,10.0,3.0,,ATOMIC HABITS,2019.0
by Stephen A. Schwarzman,10.0,4.0,,WHAT IT TAKES,2019.0
by Malcolm Gladwell,10.0,5.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by David Epstein,10.0,6.0,https://www.nytimes.com/2019/05/28/books/review/david-epstein-range.html,RANGE,2019.0
by John Carreyrou,10.0,7.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by Jocko Willink and Leif Babin,10.0,8.0,,EXTREME OWNERSHIP,2019.0
by Brad Smith and Carol Ann Browne,10.0,9.0,,TOOLS AND WEAPONS,2019.0
by Ramit Sethi,10.0,10.0,,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",2019.0
by Ryan Holiday,11.0,1.0,,STILLNESS IS THE KEY,2019.0
by Marc Benioff and Monica Langley,11.0,2.0,,TRAILBLAZER,2019.0
by Robert Iger,11.0,3.0,,THE RIDE OF A LIFETIME,2019.0
by Simon Sinek,11.0,4.0,,THE INFINITE GAME,2019.0
by Brené Brown,11.0,5.0,,DARE TO LEAD,2019.0
by James Clear,11.0,6.0,,ATOMIC HABITS,2019.0
by Eve Rodsky,11.0,7.0,,FAIR PLAY,2019.0
by Stephen A. Schwarzman,11.0,8.0,,WHAT IT TAKES,2019.0
by Tilman Fertitta,11.0,9.0,,SHUT UP AND LISTEN!,2019.0
by Malcolm Gladwell,11.0,10.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by Gregory Zuckerman,12.0,1.0,https://www.nytimes.com/2019/11/13/books/review/the-man-who-solved-the-market-gregory-zuckerman.html,THE MAN WHO SOLVED THE MARKET,2019.0
by James Clear,12.0,2.0,,ATOMIC HABITS,2019.0
by Brené Brown,12.0,3.0,,DARE TO LEAD,2019.0
by Simon Sinek,12.0,4.0,,THE INFINITE GAME,2019.0
by Robert Iger,12.0,5.0,,THE RIDE OF A LIFETIME,2019.0
by Jocko Willink and Leif Babin,12.0,6.0,,EXTREME OWNERSHIP,2019.0
by Malcolm Gladwell,12.0,7.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by Ray Dalio,12.0,8.0,,PRINCIPLES,2019.0
by Daniel Kahneman,12.0,9.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2019.0
by Marc Benioff and Monica Langley,12.0,10.0,,TRAILBLAZER,2019.0
